N,P2/CR 1e-3,P2/CR 1e-4,P2/P1 1e-3,P2/P1 1e-4
2,0.000446247105322,4.46E-06,6.34E-05,6.34E-07
5,1.18707153763866,1.18682143943778,1.16272334999707,1.16265948731698
10,1.33044193631105,1.33020799330458,1.32332856423167,1.32325914026677
15,1.3569500372709,1.35666795810843,1.35544787573282,1.35537565935345
20,1.36778625798807,1.36750100301778,1.36691369967549,1.36684030959551
30,1.37553655392211,1.37524639516679,1.37516439413917,1.37509052493008
50,1.37963643714153,1.37936434756667,1.37941009711172,1.37933843441315
100,1.38134320349917,1.38114385993072,1.38120045797876,1.38114668276131
200,1.38170106559994,1.38163972214798,1.38163563249181,1.38163570545939
